node,size,Q
0,54220,0.029104624284929298
1,24993,0.005904003109592715
2,29227,0.03134954917268122
3,10204,0.005111825973298831
4,14789,0.0023702308725439825
5,9318,0.0036431148019595017
6,19909,0.02295065390886425
7,2014,0.05385882365872846
8,8190,0.0029150957395989163
9,7080,0.0012977115306314901
10,7709,0.0025864207092372304
11,4226,0.0028760895284595245
12,5092,0.0016617296992483127
13,7406,0.003545563939971602
14,12503,0.030594217101504617
15,910,0.03976301979885487
16,1104,0.00576221938869953
17,3401,0.002984867754059095
18,4789,0.0015935494715573761
19,3203,0.0013058584945222496
20,3877,0.0011590105862541722
21,3795,0.0014897805975346567
22,3914,0.001269752959957543
23,1915,0.0023601602750298045
24,2311,0.0012803290746835339
25,1815,0.004966351627125255
26,3277,0.0038549800101170817
27,2977,0.0026409433755061607
28,4429,0.0014803788468302215
29,5179,0.012179985698204332
30,7324,0.0044145217694326055
31,251,0.01121723210834337
32,659,0.02117095067980944
33,546,0.003356177762535162
34,558,0.004724221117588606
35,1542,0.0009811901119692878
36,1859,0.0016303644064669387
37,2430,0.0008417945445635955
38,2359,0.0008273801386392832
39,1690,0.0012501866671139339
40,1513,0.0008491381763399974
41,1913,0.0007349867221358997
42,1964,0.0007048857083979398
43,1780,0.001144876305781528
44,2015,0.0007594732158880402
45,2248,0.0012521383816823384
46,1666,0.0005079523254244989
47,649,0.007383617168476145
48,1266,0.0029742864445059525
49,1062,0.0015173572805118607
50,1249,0.0011172910990474016
51,515,0.004800598765197922
52,1300,0.0007262487088080249
53,1542,0.0015036379892706536
54,1735,0.001297303788958537
55,1267,0.0019590216446715436
56,1710,0.0011446410278700414
57,2234,0.0009699804985603411
58,2195,0.0013287971988691638
59,1961,0.00825265130160377
60,3218,0.0009413633807543453
61,2595,0.0037100176204264215
62,4729,0.00211099504617529
63,79,0.02638206095780303
64,172,0.005162807525434521
65,217,0.011504623536527786
66,442,0.015837428554524913
67,256,0.0024022734492327447
68,290,0.002066070033799522
69,274,0.0010121232452605933
70,284,0.0018397952363295722
71,748,0.00025635277883080676
72,794,0.0005946800708820504
73,921,0.0010601585000674096
74,938,0.0008248684284327401
75,1160,0.0005493857705489436
76,1270,0.00034458026964351296
77,933,0.000685940336612928
78,1426,0.0006544732309054502
79,611,0.0008675306784866055
80,1079,0.0003368619538305917
81,563,0.001962935814578348
82,950,0.0017898414278336439
83,546,0.0022991706158564523
84,1367,0.0006979438358712675
85,928,0.0004917356607433143
86,1036,0.00035744846106025574
87,817,0.000824914217403605
88,963,0.0005295866054840226
89,1005,0.0006882356210228258
90,1010,0.0006077551441562301
91,899,0.000561411428762898
92,1349,0.0003855270578977388
93,829,0.00030340344054052837
94,837,0.00010683454627186117
95,247,0.01352607226638669
96,402,0.007266329117179629
97,650,0.0016522297436665778
98,616,0.0011097615222432494
99,467,0.0013815286831952017
100,595,0.0005205628382669858
101,651,0.00014453613204834515
102,598,
103,252,0.004145150808674364
104,263,0.002393692461282154
105,586,0.0009667808263577604
106,714,0.0005631556317042541
107,537,0.0013506201545903096
108,1005,0.0005283217072943047
109,705,0.0008012521867611644
110,1030,0.00031874764648967546
111,467,0.0013075165136499367
112,800,0.001652991051852029
113,670,0.0012095965800828778
114,1040,0.0009168012726697705
115,1110,0.0012678822658904465
116,1124,0.0007078092653756696
117,1025,0.0015282269395382742
118,1170,0.0006989626447349295
119,1418,0.0013279766530553128
120,543,0.01073221230740265
121,1536,0.000628246896706347
122,1682,0.0006725280288459867
123,664,0.015884756272868103
124,1931,0.0024032594026160703
125,1674,0.0011174100674630205
126,3055,0.0010350082144808537
127,31,0.016928666431089825
128,48,0.014785146844564695
129,87,
130,85,
131,81,0.010375066047412784
132,136,0.0020231038049960126
133,211,0.006529846013286156
134,231,0.006359336090796364
135,119,0.0009523005038097054
136,137,0.0004564615529334612
137,148,
138,142,
139,125,
140,149,
141,136,
142,148,0.0009755076174073618
143,260,
144,488,
145,282,0.000485399691577848
146,512,8.836911602427833e-05
147,401,0.00037539772036554453
148,520,0.0005357435049087589
149,314,0.00021726390824597375
150,624,0.0002915184418593453
151,543,0.00021776337066040097
152,617,0.00048407577569836713
153,614,
154,656,
155,353,0.00034546289172340816
156,580,6.855667651095576e-05
157,635,0.0001589287927897809
158,791,1.62637360516249e-05
159,280,
160,331,
161,524,3.299141516474591e-05
162,555,
163,174,0.0024599137666909132
164,389,
165,476,
166,474,
167,163,0.0020545662359799655
168,383,
169,673,0.00030737033322073004
170,694,
171,408,
172,520,
173,506,3.300233693925847e-05
174,530,
175,345,
176,472,
177,453,
178,510,
179,433,
180,572,
181,513,
182,497,
183,278,0.0007042086518104368
184,621,7.255520267929194e-05
185,664,5.441805168537872e-05
186,685,5.922827676951847e-05
187,416,
188,413,
189,382,
190,455,
191,158,0.005174668430674212
192,89,
193,134,0.010136274533110723
194,268,0.000970267785136425
195,310,0.001040712612239647
196,340,0.00040671063706487764
197,216,0.002087192017293432
198,400,0.0003746167241441556
199,144,0.0033543349802974964
200,323,
201,270,
202,325,
203,249,0.00013164549576271875
204,402,0.0003043907074896657
205,92,
206,160,9.35430153871375e-05
207,116,0.0002547595441096395
208,147,
209,216,0.0008547540398106124
210,370,
211,361,4.301503263429152e-05
212,353,
213,215,
214,322,
215,468,4.3773317509238074e-05
216,537,0.0001772707831011744
217,337,
218,368,
219,514,
220,516,
221,199,
222,268,
223,244,
224,556,0.00014080246551928521
225,132,0.016051308345921944
226,538,0.0022070268015835226
227,474,
228,566,
229,561,0.00023714569731719815
230,549,0.0005197882548307331
231,566,0.0005778583069243892
232,558,
233,451,0.0007098081311772697
234,574,9.785408276677399e-05
235,599,0.0002082698872693245
236,571,0.00040177153199255633
237,664,0.001268029716436303
238,754,0.0003244303250289349
239,189,0.0007618329465897133
240,354,
241,772,6.0271240461623465e-05
242,764,3.247676971684932e-05
243,638,0.0001334762856184113
244,1044,
245,201,0.008169745810927498
246,463,0.004678744697375753
247,609,0.0015857026980606037
248,1322,0.000492423747782772
249,725,0.0007482527633871777
250,949,0.0013786174569928866
251,1388,0.000222771158674806
252,1667,0.00037889326809434354
253,6,
254,25,
255,22,
256,26,
257,31,
258,50,
259,42,0.0011902163213682038
260,94,0.001606577403484688
261,86,0.0007130800920247676
262,125,0.0024488292399092726
263,115,0.0041752198697103116
264,116,0.0031711250127639534
265,49,
266,70,
267,29,
268,108,
269,75,
270,73,
271,100,
272,182,
273,261,
274,251,
275,164,
276,237,2.2866037626745328e-05
277,229,
278,291,
279,150,
280,164,
281,306,
282,318,
283,191,
284,352,
285,304,
286,313,
287,165,
288,188,
289,321,
290,259,
291,284,
292,351,
293,392,
294,399,
295,236,
296,288,
297,69,
