node,size,Q
0,54220,0.029276474985467815
1,29657,0.024523025625045436
2,24563,0.004473711054288981
3,9604,0.0041120614294098
4,20053,0.02875928527810795
5,10791,0.0041923495586078385
6,13772,0.002036443180608999
7,2803,0.0121805636805489
8,6801,0.0022884494640349473
9,7371,0.001117587364288325
10,12682,0.033671166575638956
11,2686,0.011696884966912152
12,8105,0.001619583122237006
13,5795,0.0019066980114925691
14,7977,0.0013189052355296604
15,1093,0.009155751386108135
16,1710,0.007461275451578514
17,2580,0.005841010657538892
18,4221,0.0015621685643970318
19,2672,0.002332133604327241
20,4699,0.0011475640965145084
21,5168,0.0036956621345201196
22,7514,0.004381134486200297
23,933,0.010617312973004112
24,1753,0.0014692245692713435
25,4012,0.0006832601487512802
26,4093,0.0005250837468403213
27,2947,0.0009714873250061262
28,2848,0.001384234173078841
29,3224,0.001290940093574694
30,4753,0.0011023095521033588
31,508,0.007645673099305583
32,585,0.006234217524406671
33,730,0.0023208079072235127
34,980,0.0011776756308313416
35,1528,0.003428760051881613
36,1052,0.006092668101188692
37,1965,0.0020212783072060814
38,2256,0.0017785510979233254
39,1292,0.0022933138083006815
40,1380,0.001286477345446027
41,2238,0.0011418759517493327
42,2461,0.0012856126443505367
43,1620,0.012120633558563021
44,3548,0.0012295995864526899
45,1458,0.021509718038264486
46,6056,0.004808065309833701
47,460,0.0010750728526979503
48,473,0.0006271561955852739
49,842,0.000839486077903906
50,911,0.0007597642986368336
51,2018,0.00037695807313087304
52,1994,0.00022372237851875365
53,2144,0.00027542112132311614
54,1949,0.00045107657520687683
55,1279,0.0009039910176116273
56,1668,0.0009597244806460181
57,1244,0.0010946597868356778
58,1604,0.0005197121968278928
59,1465,0.00038487810756268614
60,1759,0.0007277035968048795
61,2221,0.0005261378352357515
62,2532,0.0005720064980536954
63,271,0.003305352663701022
64,237,0.0026186852898987256
65,287,0.002633870504845426
66,298,0.0007898405584830515
67,201,0.007147769799378062
68,529,0.002586794532123876
69,240,0.010986060574800085
70,740,0.002666997983429842
71,776,0.0023670378416349724
72,752,0.0018962323000864534
73,494,0.005919969955087173
74,558,0.002209201909160019
75,825,0.002271438144559379
76,1140,0.0011486780135451513
77,984,0.0011896393394816573
78,1272,0.0005837719441571243
79,444,0.0016540766349292801
80,848,0.0003145273387804848
81,472,0.0007308855966649541
82,908,0.00030589092797592143
83,814,0.000973223431460779
84,1424,0.0004126136408649783
85,1117,0.0015047713126179196
86,1344,0.001648172816417437
87,623,0.011408682183452257
88,997,0.003954855554318348
89,905,0.00422159634793004
90,2643,0.0005627017515450472
91,626,0.012959427527585804
92,832,0.004319976408318077
93,2158,0.008099898269054676
94,3898,0.0012413716527253787
95,214,
96,246,
97,154,0.000885154275303196
98,319,
99,419,
100,423,
101,390,3.6737757194330034e-05
102,521,
103,816,0.00012202506301137173
104,1202,0.0001399633234006048
105,978,
106,1016,
107,739,0.00028389699445190153
108,1405,5.0175328997953406e-05
109,773,0.000205186022091991
110,1176,0.00018828402072823547
111,550,
112,729,
113,695,8.698294863607181e-06
114,973,0.00029837714855501796
115,503,
116,741,8.179635948532549e-05
117,643,
118,961,3.0635460027544914e-05
119,523,0.00020222814064983774
120,942,0.0004212837642122158
121,816,0.0003071043852955202
122,943,0.00027497097244391644
123,1051,0.00013879063781421785
124,1170,0.00016624842376575244
125,1070,0.00032369195911327586
126,1462,0.00016450339637844036
127,105,0.003121910297993224
128,166,
129,100,
130,137,
131,90,0.007205454432016891
132,197,0.0002116757005551917
133,115,
134,183,
135,95,
136,106,
137,241,0.0007069908589667218
138,288,0.0018305138096941787
139,41,
140,199,0.001420289835376537
141,293,0.0025934275712232446
142,447,0.004366734411484108
143,353,0.000831438569087628
144,423,0.0008308346419376167
145,350,0.0028943644614788933
146,402,0.0002983476082265013
