gene,weight
DCLK1,1
PCDH8,1
LGR5,1
CYP2E1,1
LIMCH1,1
ARL4C,1
FAM49A,1
BEX4,1
ASCL2,1
FSTL1,1
SORCS2,1
PSRC1,1
TUBB2B,1
RASSF5,1
SCN2B,1
E330027M22RIK,1
SLC14A1,1
PTPRO,1
NAV1,1
PVT1,1
KIF26B,1
SLC1A2,1
C13ORF15,1
ASRGL1,1
CBS,1
VAV3,1
NA,1
CENPF,1
PTHLH,1
IGFBP4,1
CYP11A1,1
SLCO3A1,1
PXDN,1
EPHB3,1
FZD2,1
CHST11,1
MARVELD1,1
4933406C10RIK,1
MEX3A,1
PHGDH,1
5730471H19RIK,1
ESAM,1
MPP3,1
BEX1,1
ST3GAL3,1
TEAD2,1
BCL2,1
PRICKLE1,1
SOAT1,1
LFNG,1
KLHL8,1
HEBP2,1
TGIF2,1
CD44,1
TACC1,1
